Issue Key,SUMMARY,FixVersion,Parent,CE,EE
EE-6318,[NotRegression] [Community Contribution][REVIEWED] Incorrect Documentation link for Swarm agent setup,EE-2.20.0,,✓,✓
EE-6317,[Develop] Edge stacks deadline exceeded failure,EE-2.20.0,,✓,✓
EE-6315,[Develop] Container page - Can give non environment members access,EE-2.20.0,,✓,✓
EE-6314,[Develop] Container Create page UI toggles misalignment,EE-2.20.0,,✓,✓
EE-6313,[Develop] Unable to create container with webhook,EE-2.20.0,,-,✓
EE-6306,[Develop] Runtime and Resources issues,EE-2.20.0,,✓,✓
EE-6304,[Develop] Container advanced settings - domain name - info does not get processed,EE-2.20.0,,✓,✓
EE-6287,[Develop] Cannot deploy container from dockerhub registry,EE-2.20.0,,✓,✓
EE-6278,[Develop] Missing information in portainer build info modal,CE-2.20.0,,✓,-
EE-6277,[Develop] edge stack custom columns menu is surrounded by parentheses,EE-2.20.0,,✓,✓
EE-6275,[Develop] Unable to update swarm service,CE-2.20.0,,✓,-
EE-6274,[Develop] Agent environments cannot view volumes page,EE-2.20.0,,✓,✓
EE-6273,[Develop] Unable to view container logs,CE-2.20.0,,✓,-
EE-6266,[REVIEWED] UI Bug - Incorrect display of repository ref,EE-2.20.0,,-,✓
EE-6264,Homepage container count includes healthy/unhealthy containers twice,EE-2.20.0,,✓,✓
EE-6263,[Develop] Edge compute settings issues,EE-2.20.0,,✓,✓
EE-6260,[Develop] issues related to omitting empty fields from db,EE-2.20.0,,✓,✓
EE-6259,Toggle switches in waiting room do not sort waiting devices list,EE-2.20.0,,-,✓
EE-6258,"[Develop] ""Disable container capabilities for non-administrators"" option does not work correctly",EE-2.20.0,,✓,✓
EE-6256,Docker Images List breaks when an image has no tags,EE-2.20.0,,✓,✓
EE-6251,[MustHave] [REVIEWED] [Regression] Unable to update a Git-based Edge stack that was created by another user,EE-2.20.0,,✓,✓
EE-6227,version.go:StoreIsUpdating() is broken in CE,CE-2.20.0,,✓,-
EE-6226,[Develop] Docker Volumes screen has Add volume button incorrectly labelled Add secret,EE-2.20.0,,✓,✓
EE-6225,[Develop] Console errors removing text from resource slider text field,EE-2.20.0,,✓,✓
EE-6215,Misleading message when deploying Portainer on Swarm,EE-2.20.0,,✓,✓
EE-6204,Label GPU functionality as NVIDIA only,EE-2.20.0,,✓,✓
EE-6196,Waiting room devices not automatically associated when admin disables waiting room feature,EE-2.20.0,,-,✓
EE-6178,[Develop] Unable to edit swarm services ,EE-2.20.0,,✓,✓
EE-6172,[Develop] Container logs page inaccessible,EE-2.20.0,,✓,✓
EE-6167,[Regression] [REVIEWED] Retry deployment toggle does not persist when editing edge stack,EE-2.20.0,,✓,✓
EE-6164,[Develop] Unable to view swarm secret details,EE-2.20.0,,✓,✓
EE-6160,[Develop] Unable to create a container,EE-2.20.0,,✓,✓
EE-6149,[Develop] Show orphaned stack option is missing,CE-2.20.0,,✓,-
EE-6139,[Regression] [REVIEWED] Cannot force HTTPS in 2.19.0 as Save SSL settings button is greyed out,EE-2.20.0,,✓,✓
EE-6131,Edge configuration counting issue,EE-2.20.0,,-,✓
EE-6118,[Develop] Unable to edit Stacks/Applications,EE-2.20.0,,✓,✓
EE-6117,"Change ""Upgrade licenses"" button to ""Buy more nodes""",EE-2.20.0,,-,✓
EE-6093,[Develop] Stacks page shows empty list,EE-2.20.0,,✓,✓
EE-6092,Agent: aggregateStatus() has duplicated code,EE-2.20.0,,✓,✓
EE-6088,GitLab fails to load Registry List correctly when a registry encounters an error,EE-2.20.0,,✓,✓
EE-6081,[Develop] Portainer settings - misaligned poll frequency selector,EE-2.20.0,,✓,✓
EE-6020,[x] UI - Edge Groups pages icon style is incorrect,EE-2.20.0,,-,✓
EE-6010,[x] Auto onboarding - missing placeholder in the Edge id generator input,EE-2.20.0,,-,✓
EE-6003,[x] Waiting room features are still visible when disabled in settings,EE-2.20.0,,-,✓
EE-5981,stack config file error when deploying stack with PORT env var,EE-2.20.0,,-,✓
EE-5965,[x] Searching edge groups in waiting room returns no results ,EE-2.20.0,,-,✓
EE-5964,[x] non trusted envs are counted for static edge groups,EE-2.20.0,,-,✓
EE-5960,[x] Missing relative path info when editing stack or edge stack,EE-2.20.0,,-,✓
EE-5923,[Regression][REVIEWED] Unable to clear logs for edge jobs,CE-2.20.0,,✓,-
EE-5855,[Regression] [REVIEWED] Save settings button disabled until Git password/token is re-entered when changing Advanced Options for a Git stack,EE-2.20.0,,✓,✓
EE-5784,[NOTRegression][REVIEWED] Error raised when trying to update an orphaned stack,EE-2.20.0,,-,✓
EE-5773,[x] Edge Agent: Docker snapshots should use timeouts,EE-2.20.0,,✓,✓
EE-5766,[NotRegression][REVIEWED] Sorting stacks by Updated instead sorts by Created,EE-2.20.0,,✓,✓
EE-5765,[x] In-app CE to BE upgrade with 3NF key on versions pre 2.18.4 fails,CE-2.20.0,,✓,-
EE-5760,[x] Container exit codes in status - containers table,EE-2.20.0,,✓,✓
EE-5752,Linter rules issue with autofocus,EE-2.19.2,,✓,✓
EE-5745,[x] Edge Agent resets its endpointId when it can't reach Portainer server,EE-2.20.0,,✓,✓
